Test  | A*        | A* time   | A* len    | D* Lite   | D* time   | D* len    
---------------------------------------------------------------------------------
1     | Path found| 0.532     | 38        | Path found| 1.607     | 38        
2     | Path found| 0.581     | 51        | Path found| 3.070     | 51        
3     | Path found| 0.222     | 40        | Path found| 1.927     | 40        
4     | Path found| 0.605     | 58        | Path found| 3.554     | 58        
5     | Path found| 0.073     | 14        | Path found| 0.325     | 14        
6     | Path found| 0.427     | 47        | Path found| 2.293     | 47        
7     | Path found| 0.217     | 34        | Path found| 0.709     | 34        
8     | Path found| 0.246     | 43        | Path found| 1.321     | 43        
9     | Path found| 0.114     | 19        | Path found| 0.547     | 19        
10    | Path found| 0.074     | 13        | Path found| 0.366     | 13        
11    | Path found| 0.132     | 30        | Path found| 1.056     | 30        
12    | Path found| 0.293     | 47        | Path found| 2.133     | 47        
13    | Path found| 0.345     | 34        | Path found| 1.639     | 34        
14    | Path found| 0.275     | 38        | Path found| 1.075     | 38        
15    | Path found| 0.095     | 18        | Path found| 0.567     | 18        
16    | Path found| 0.317     | 47        | Path found| 1.907     | 47        
17    | Path found| 0.076     | 22        | Path found| 0.360     | 22        
18    | Path found| 0.194     | 39        | Path found| 1.702     | 39        
19    | Path found| 0.442     | 57        | Path found| 1.689     | 57        
20    | Path found| 0.391     | 52        | Path found| 2.976     | 52        
21    | Path found| 0.403     | 52        | Path found| 2.888     | 52        
22    | Path found| 0.065     | 10        | Path found| 0.286     | 10        
23    | Path found| 0.277     | 42        | Path found| 1.273     | 42        
24    | Path found| 0.110     | 20        | Path found| 0.683     | 20        
25    | Path found| 0.137     | 27        | Path found| 0.791     | 27        
26    | Path found| 0.393     | 72        | Path found| 5.496     | 72        
27    | Path found| 0.137     | 26        | Path found| 0.618     | 26        
28    | Path found| 0.255     | 41        | Path found| 1.765     | 41        
29    | Path found| 0.441     | 58        | Path found| 3.719     | 58        
30    | Path found| 0.075     | 15        | Path found| 0.423     | 15        
31    | Path found| 0.212     | 33        | Path found| 1.238     | 33        
32    | Path found| 0.348     | 44        | Path found| 1.298     | 44        
33    | Path found| 0.090     | 19        | Path found| 0.420     | 19        
34    | Path found| 0.101     | 29        | Path found| 0.491     | 29        
35    | Path found| 0.217     | 39        | Path found| 1.001     | 39        
36    | Path found| 0.236     | 41        | Path found| 1.643     | 41        
37    | Path found| 0.401     | 48        | Path found| 2.632     | 48        
38    | Path found| 0.189     | 37        | Path found| 0.875     | 37        
39    | Path found| 0.161     | 32        | Path found| 1.105     | 32        
40    | Path found| 0.177     | 31        | Path found| 1.236     | 31        
41    | Path found| 0.094     | 17        | Path found| 0.426     | 17        
42    | Path found| 0.122     | 26        | Path found| 0.639     | 26        
43    | Path found| 0.089     | 16        | Path found| 0.359     | 16        
44    | Path found| 0.106     | 34        | Path found| 0.426     | 34        
45    | Path found| 0.081     | 20        | Path found| 0.321     | 20        
46    | Path found| 0.158     | 28        | Path found| 0.700     | 28        
47    | Path found| 0.062     | 10        | Path found| 0.332     | 10        
48    | Path found| 0.266     | 45        | Path found| 2.029     | 45        
49    | Path found| 0.056     | 10        | Path found| 0.222     | 10        
50    | Path found| 0.266     | 38        | Path found| 0.884     | 38        
51    | Path found| 0.096     | 19        | Path found| 0.515     | 19        
52    | Path found| 0.157     | 33        | Path found| 0.800     | 33        
53    | Path found| 0.142     | 23        | Path found| 0.649     | 23        
54    | Path found| 0.521     | 48        | Path found| 1.960     | 48        
55    | Path found| 0.105     | 21        | Path found| 0.623     | 21        
56    | Path found| 0.078     | 18        | Path found| 0.330     | 18        
57    | Path found| 0.055     | 16        | Path found| 0.258     | 16        
58    | Path found| 0.087     | 25        | Path found| 0.417     | 25        
59    | Path found| 0.071     | 11        | Path found| 0.333     | 11        
60    | Path found| 0.256     | 48        | Path found| 2.483     | 48        
61    | Path found| 0.219     | 44        | Path found| 1.737     | 44        
62    | Path found| 0.087     | 19        | Path found| 0.412     | 19        
63    | Path found| 0.179     | 26        | Path found| 0.775     | 26        
64    | Path found| 0.140     | 28        | Path found| 0.878     | 28        
65    | Path found| 0.118     | 26        | Path found| 0.927     | 26        
66    | Path found| 0.113     | 27        | Path found| 0.766     | 27        
67    | Path found| 0.198     | 39        | Path found| 1.358     | 39        
68    | Path found| 0.099     | 26        | Path found| 0.554     | 26        
69    | Path found| 0.144     | 26        | Path found| 0.594     | 26        
70    | Path found| 0.046     | 10        | Path found| 0.219     | 10        
71    | Path found| 0.243     | 34        | Path found| 1.285     | 34        
72    | Path found| 0.048     | 11        | Path found| 0.227     | 11        
73    | Path found| 0.128     | 19        | Path found| 0.605     | 19        
