Detected from header: steps=5000, objects_per_step=14
Test  | A*        | A* time   | A* steps | D* Lite   | D* time   | D* steps 
--------------------------------------------------------------------------------
1     | Path found| 4.217     | 37       | Path found| 8.049     | 37       
2     | Path found| 6.390     | 40       | Path found| 11.060    | 42       
3     | Path found| 5.431     | 42       | Path found| 11.150    | 46       
4     | No path   | 5.662     | 22       | No path   | 8.510     | 22       
5     | Path found| 6.739     | 47       | Path found| 8.446     | 47       
6     | Path found| 3.299     | 30       | Path found| 4.261     | 30       
7     | Path found| 4.643     | 46       | Path found| 7.390     | 46       
8     | No path   | 12.570    | 35       | No path   | 14.779    | 35       
9     | Path found| 10.176    | 57       | Path found| 10.973    | 57       
10    | Path found| 9.378     | 57       | Path found| 11.108    | 57       
11    | Path found| 3.199     | 34       | Path found| 5.302     | 34       
12    | Path found| 4.652     | 41       | Path found| 7.057     | 41       
13    | Path found| 7.239     | 49       | Path found| 8.843     | 49       
14    | Path found| 8.844     | 50       | Path found| 9.326     | 50       
15    | Path found| 9.438     | 51       | Path found| 13.650    | 49       
16    | Path found| 6.809     | 46       | Path found| 8.088     | 46       
17    | Path found| 13.514    | 63       | Path found| 16.849    | 63       
18    | Path found| 4.192     | 42       | Path found| 7.139     | 44       
19    | Path found| 3.989     | 37       | Path found| 6.394     | 37       
20    | Path found| 3.700     | 37       | Path found| 5.821     | 37       
21    | Path found| 4.027     | 35       | Path found| 5.149     | 35       
22    | Path found| 8.920     | 57       | Path found| 11.268    | 57       
23    | Path found| 4.286     | 40       | Path found| 5.918     | 40       
24    | Path found| 5.872     | 52       | Path found| 8.745     | 54       
25    | Path found| 6.173     | 46       | Path found| 8.498     | 48       
26    | No path   | 5.080     | 29       | No path   | 6.468     | 29       
27    | Path found| 3.354     | 36       | Path found| 6.329     | 36       
28    | Path found| 4.751     | 40       | Path found| 7.868     | 42       
29    | Path found| 2.554     | 34       | Path found| 5.865     | 34       
30    | Path found| 4.963     | 36       | Path found| 6.236     | 36       
31    | Path found| 27.543    | 84       | Path found| 21.720    | 84       
32    | Path found| 3.712     | 38       | Path found| 5.690     | 38       
33    | Path found| 5.941     | 44       | Path found| 6.631     | 44       
34    | Path found| 5.221     | 40       | Path found| 6.971     | 40       
35    | Path found| 3.823     | 44       | Path found| 7.415     | 46       
36    | Path found| 4.278     | 34       | Path found| 5.699     | 34       
37    | Path found| 7.167     | 47       | Path found| 8.642     | 47       
38    | Path found| 15.034    | 69       | Path found| 17.023    | 69       
39    | Path found| 3.607     | 35       | Path found| 5.676     | 35       
40    | Path found| 5.328     | 44       | Path found| 7.210     | 44       
41    | Path found| 2.645     | 31       | Path found| 5.159     | 31       
42    | Path found| 3.413     | 42       | Path found| 5.921     | 42       
43    | Path found| 6.350     | 46       | Path found| 10.201    | 48       
44    | Path found| 5.212     | 49       | Path found| 9.266     | 53       
45    | Path found| 4.449     | 38       | Path found| 6.773     | 40       
46    | Path found| 9.820     | 56       | Path found| 10.433    | 56       
47    | Path found| 23.446    | 74       | Path found| 17.125    | 74       
48    | Path found| 4.172     | 40       | Path found| 6.664     | 40       
49    | Path found| 2.522     | 30       | Path found| 5.076     | 30       
50    | Path found| 4.094     | 41       | Path found| 6.604     | 41       
51    | Path found| 5.033     | 41       | Path found| 6.896     | 41       
52    | No path   | 3.756     | 7        | No path   | 2.458     | 7        
53    | Path found| 5.582     | 40       | Path found| 7.371     | 42       
54    | Path found| 5.533     | 50       | Path found| 8.480     | 50       
55    | Path found| 2.864     | 36       | Path found| 5.873     | 36       
56    | Path found| 8.117     | 49       | Path found| 12.294    | 51       
57    | Path found| 6.736     | 45       | Path found| 11.435    | 45       
58    | Path found| 8.789     | 50       | Path found| 17.648    | 50       
59    | Path found| 8.462     | 47       | Path found| 7.892     | 47       
60    | Path found| 3.061     | 36       | Path found| 6.745     | 38       
61    | Path found| 6.307     | 43       | Path found| 7.562     | 45       
62    | Path found| 5.910     | 45       | Path found| 8.515     | 47       
63    | Path found| 5.000     | 36       | Path found| 6.094     | 36       
64    | Path found| 3.015     | 37       | Path found| 6.814     | 37       
65    | Path found| 4.285     | 38       | Path found| 7.704     | 44       
66    | Path found| 5.821     | 44       | Path found| 7.712     | 44       
67    | Path found| 2.382     | 39       | Path found| 6.177     | 41       
68    | Path found| 3.912     | 36       | Path found| 6.454     | 36       
69    | Path found| 7.251     | 46       | Path found| 7.299     | 46       
70    | Path found| 6.210     | 43       | Path found| 7.153     | 43       
71    | Path found| 9.211     | 52       | Path found| 8.603     | 52       
72    | Path found| 4.043     | 36       | Path found| 6.487     | 36       
73    | Path found| 5.652     | 47       | Path found| 10.513    | 47       
74    | Path found| 11.349    | 66       | Path found| 13.740    | 66       
75    | Path found| 2.801     | 32       | Path found| 5.898     | 36       
76    | Path found| 2.772     | 34       | Path found| 5.591     | 34       
77    | Path found| 5.289     | 41       | Path found| 7.404     | 41       
78    | Path found| 9.377     | 60       | Path found| 11.880    | 60       
79    | No path   | 6.007     | 27       | No path   | 5.998     | 27       
80    | Path found| 7.290     | 43       | Path found| 10.092    | 49       
81    | Path found| 6.599     | 46       | Path found| 9.231     | 48       
82    | Path found| 1.871     | 32       | Path found| 3.722     | 32       
83    | Path found| 4.492     | 46       | Path found| 7.860     | 48       
84    | Path found| 4.553     | 39       | Path found| 6.432     | 39       
85    | No path   | 3.204     | 3        | No path   | 8.247     | 3        
86    | Path found| 11.086    | 58       | Path found| 12.591    | 60       
87    | No path   | 13.422    | 32       | No path   | 15.738    | 32       
88    | Path found| 9.907     | 57       | Path found| 10.939    | 57       
89    | Path found| 6.450     | 44       | Path found| 8.143     | 44       
90    | Path found| 4.272     | 40       | Path found| 4.800     | 40       
91    | Path found| 4.814     | 43       | Path found| 6.610     | 43       
92    | Path found| 5.839     | 41       | Path found| 7.139     | 41       
93    | Path found| 3.158     | 41       | Path found| 7.018     | 43       
94    | Path found| 5.067     | 49       | Path found| 6.729     | 49       
95    | Path found| 8.684     | 52       | Path found| 10.424    | 52       
96    | Path found| 6.065     | 44       | Path found| 8.585     | 46       
97    | Path found| 11.807    | 61       | Path found| 13.577    | 63       
98    | No path   | 5.858     | 36       | No path   | 9.099     | 36       
99    | Path found| 4.095     | 38       | Path found| 6.524     | 38       
100   | Path found| 6.224     | 44       | Path found| 6.468     | 44       
101   | Path found| 2.407     | 33       | Path found| 4.258     | 33       
102   | Path found| 7.416     | 54       | Path found| 9.605     | 54       
103   | Path found| 4.379     | 38       | Path found| 5.949     | 38       
104   | Path found| 1.987     | 32       | Path found| 3.877     | 32       
105   | Path found| 5.777     | 47       | Path found| 7.233     | 47       
106   | Path found| 5.069     | 44       | Path found| 7.412     | 44       
107   | Path found| 2.140     | 32       | Path found| 4.597     | 36       
108   | Path found| 4.920     | 44       | Path found| 6.827     | 44       
109   | Path found| 2.075     | 34       | Path found| 4.131     | 34       
110   | Path found| 5.859     | 47       | Path found| 7.214     | 47       
111   | Path found| 7.238     | 51       | Path found| 9.610     | 53       
112   | Path found| 9.629     | 58       | Path found| 11.811    | 62       
113   | Path found| 6.817     | 49       | Path found| 8.476     | 49       
114   | No path   | 2.956     | 4        | No path   | 4.725     | 4        
115   | No path   | 5.303     | 11       | No path   | 4.965     | 11       
116   | Path found| 11.502    | 56       | Path found| 13.981    | 56       
117   | Path found| 3.128     | 36       | Path found| 5.774     | 36       
118   | Path found| 8.303     | 52       | Path found| 8.621     | 52       
119   | Path found| 1.715     | 34       | Path found| 4.078     | 34       
120   | Path found| 4.069     | 37       | Path found| 5.043     | 37       
121   | Path found| 6.101     | 48       | Path found| 9.140     | 52       
122   | Path found| 11.158    | 57       | Path found| 9.183     | 57       
123   | Path found| 3.952     | 38       | Path found| 5.479     | 38       
124   | No path   | 5.840     | 16       | No path   | 7.643     | 16       
125   | Path found| 7.472     | 50       | Path found| 9.698     | 52       
126   | No path   | 10.847    | 26       | No path   | 13.097    | 26       
127   | Path found| 2.351     | 40       | Path found| 4.888     | 40       
128   | Path found| 6.081     | 49       | Path found| 7.799     | 49       
129   | Path found| 9.860     | 62       | Path found| 12.447    | 62       
130   | Path found| 13.788    | 66       | Path found| 12.680    | 68       
131   | Path found| 3.488     | 35       | Path found| 4.383     | 35       
132   | Path found| 4.414     | 47       | Path found| 6.895     | 47       
133   | Path found| 21.314    | 74       | Path found| 14.514    | 74       
134   | Path found| 2.629     | 35       | Path found| 4.790     | 35       
135   | Path found| 3.707     | 38       | Path found| 5.322     | 38       
136   | Path found| 8.013     | 57       | Path found| 12.118    | 59       
137   | Path found| 7.994     | 60       | Path found| 9.310     | 54       
138   | No path   | 2.309     | 2        | No path   | 2.846     | 2        
139   | Path found| 3.789     | 44       | Path found| 5.285     | 44       
140   | Path found| 2.132     | 34       | Path found| 4.831     | 36       
141   | Path found| 7.248     | 55       | Path found| 9.886     | 55       
142   | Path found| 1.899     | 34       | Path found| 4.131     | 34       
143   | Path found| 4.873     | 43       | Path found| 7.477     | 45       
144   | No path   | 5.100     | 36       | No path   | 9.725     | 36       
