Detected from header: steps=5000, objects_per_step=3
Test  | A*        | A* time   | A* steps | D* Lite   | D* time   | D* steps 
--------------------------------------------------------------------------------
1     | Path found| 28.970    | 80       | Path found| 12.105    | 80       
2     | Path found| 23.084    | 77       | Path found| 8.611     | 77       
3     | Path found| 16.215    | 70       | Path found| 7.495     | 70       
4     | Path found| 16.780    | 75       | Path found| 7.933     | 75       
5     | Path found| 18.590    | 72       | Path found| 7.868     | 72       
6     | Path found| 17.745    | 70       | Path found| 7.562     | 70       
7     | Path found| 18.476    | 74       | Path found| 7.951     | 74       
8     | Path found| 21.434    | 77       | Path found| 8.341     | 77       
9     | Path found| 18.638    | 71       | Path found| 8.836     | 71       
10    | No path   | 12.463    | 11       | No path   | 16.161    | 11       
11    | Path found| 13.565    | 70       | Path found| 7.863     | 70       
12    | No path   | 6.549     | 7        | No path   | 10.703    | 7        
13    | Path found| 20.298    | 79       | Path found| 8.696     | 75       
14    | Path found| 18.292    | 73       | Path found| 12.014    | 75       
15    | Path found| 23.467    | 74       | Path found| 8.091     | 74       
16    | Path found| 19.213    | 73       | Path found| 7.802     | 73       
17    | Path found| 18.177    | 74       | Path found| 7.629     | 74       
18    | Path found| 24.300    | 87       | Path found| 10.462    | 87       
19    | Path found| 18.450    | 74       | Path found| 8.280     | 74       
20    | Path found| 20.474    | 77       | Path found| 9.022     | 79       
21    | Path found| 19.276    | 73       | Path found| 8.699     | 75       
22    | Path found| 15.220    | 72       | Path found| 7.946     | 72       
23    | Path found| 16.869    | 73       | Path found| 7.937     | 73       
24    | Path found| 17.444    | 74       | Path found| 8.321     | 74       
25    | Path found| 20.567    | 71       | Path found| 7.823     | 71       
26    | Path found| 19.331    | 74       | Path found| 8.465     | 74       
27    | Path found| 22.701    | 76       | Path found| 9.442     | 76       
28    | Path found| 16.732    | 70       | Path found| 7.616     | 70       
29    | Path found| 17.103    | 70       | Path found| 7.672     | 70       
30    | Path found| 17.978    | 73       | Path found| 7.624     | 73       
31    | Path found| 17.919    | 74       | Path found| 8.082     | 74       
32    | Path found| 14.582    | 70       | Path found| 7.095     | 70       
33    | Path found| 23.551    | 81       | Path found| 10.154    | 83       
34    | Path found| 17.526    | 71       | Path found| 8.078     | 77       
35    | Path found| 17.915    | 72       | Path found| 8.417     | 72       
36    | Path found| 19.576    | 78       | Path found| 8.953     | 78       
37    | Path found| 13.850    | 70       | Path found| 7.188     | 70       
38    | No path   | 20.771    | 48       | No path   | 15.186    | 48       
39    | Path found| 20.200    | 77       | Path found| 8.672     | 77       
40    | Path found| 15.002    | 72       | Path found| 7.713     | 72       
41    | Path found| 19.210    | 72       | Path found| 7.564     | 72       
42    | Path found| 18.735    | 72       | Path found| 5.620     | 72       
43    | Path found| 19.594    | 83       | Path found| 9.449     | 83       
44    | Path found| 14.935    | 72       | Path found| 7.724     | 72       
45    | Path found| 13.141    | 70       | Path found| 7.167     | 70       
46    | Path found| 20.204    | 76       | Path found| 7.308     | 76       
47    | Path found| 19.187    | 73       | Path found| 8.156     | 73       
48    | Path found| 17.931    | 71       | Path found| 7.240     | 71       
49    | Path found| 21.900    | 80       | Path found| 9.549     | 82       
50    | Path found| 20.265    | 81       | Path found| 9.604     | 81       
51    | Path found| 21.646    | 74       | Path found| 9.009     | 74       
52    | Path found| 18.415    | 70       | Path found| 5.595     | 70       
53    | Path found| 15.335    | 71       | Path found| 7.561     | 71       
54    | Path found| 20.879    | 73       | Path found| 5.903     | 73       
55    | Path found| 21.064    | 75       | Path found| 9.847     | 75       
56    | Path found| 22.794    | 82       | Path found| 9.743     | 82       
57    | Path found| 16.675    | 75       | Path found| 7.944     | 71       
58    | Path found| 17.813    | 79       | Path found| 8.867     | 79       
59    | Path found| 20.173    | 76       | Path found| 8.426     | 76       
60    | Path found| 18.450    | 73       | Path found| 8.318     | 73       
61    | Path found| 17.438    | 75       | Path found| 8.312     | 75       
62    | Path found| 15.227    | 71       | Path found| 7.365     | 71       
63    | Path found| 24.296    | 74       | Path found| 8.776     | 74       
64    | Path found| 20.142    | 75       | Path found| 8.476     | 75       
65    | Path found| 17.062    | 73       | Path found| 8.135     | 73       
66    | Path found| 23.015    | 81       | Path found| 9.407     | 81       
67    | Path found| 17.699    | 77       | Path found| 8.723     | 77       
68    | Path found| 20.293    | 76       | Path found| 9.168     | 76       
69    | Path found| 22.616    | 78       | Path found| 8.881     | 78       
70    | Path found| 25.053    | 84       | Path found| 10.051    | 84       
71    | Path found| 17.948    | 72       | Path found| 11.006    | 74       
72    | Path found| 13.647    | 70       | Path found| 7.104     | 70       
73    | Path found| 19.538    | 77       | Path found| 8.915     | 77       
74    | Path found| 16.246    | 72       | Path found| 7.501     | 72       
75    | Path found| 21.815    | 73       | Path found| 5.747     | 73       
76    | Path found| 16.692    | 73       | Path found| 7.831     | 73       
77    | Path found| 16.533    | 70       | Path found| 7.532     | 70       
78    | Path found| 20.886    | 78       | Path found| 9.218     | 78       
79    | Path found| 23.954    | 77       | Path found| 9.882     | 77       
80    | Path found| 15.328    | 70       | Path found| 7.702     | 70       
81    | Path found| 19.538    | 74       | Path found| 8.686     | 76       
82    | Path found| 19.967    | 76       | Path found| 8.544     | 76       
83    | Path found| 18.656    | 74       | Path found| 8.097     | 74       
84    | Path found| 19.308    | 76       | Path found| 8.384     | 76       
85    | Path found| 15.639    | 71       | Path found| 7.760     | 71       
86    | No path   | 11.450    | 12       | No path   | 12.102    | 12       
87    | Path found| 17.658    | 76       | Path found| 8.213     | 76       
88    | Path found| 19.226    | 77       | Path found| 8.233     | 77       
89    | Path found| 17.352    | 71       | Path found| 8.003     | 71       
90    | Path found| 18.101    | 77       | Path found| 8.587     | 77       
91    | Path found| 19.747    | 75       | Path found| 8.383     | 75       
92    | Path found| 23.565    | 82       | Path found| 10.053    | 84       
93    | Path found| 20.704    | 77       | Path found| 8.628     | 77       
94    | Path found| 28.927    | 83       | Path found| 10.366    | 83       
95    | Path found| 23.434    | 81       | Path found| 9.482     | 81       
96    | Path found| 25.304    | 82       | Path found| 9.657     | 82       
97    | Path found| 17.201    | 71       | Path found| 7.618     | 71       
98    | Path found| 27.016    | 86       | Path found| 10.336    | 86       
99    | Path found| 18.742    | 73       | Path found| 8.594     | 73       
100   | Path found| 17.733    | 76       | Path found| 8.321     | 76       
101   | Path found| 21.194    | 78       | Path found| 10.020    | 78       
102   | Path found| 14.601    | 73       | Path found| 7.460     | 73       
103   | Path found| 19.740    | 75       | Path found| 8.207     | 75       
104   | Path found| 16.604    | 70       | Path found| 7.393     | 70       
105   | Path found| 17.846    | 80       | Path found| 9.053     | 80       
106   | Path found| 18.623    | 72       | Path found| 7.636     | 72       
107   | Path found| 15.930    | 72       | Path found| 7.748     | 72       
108   | Path found| 14.143    | 70       | Path found| 7.218     | 70       
109   | Path found| 15.583    | 73       | Path found| 7.663     | 73       
