Test  | A*        | A* time   | A* len    | D* Lite   | D* time   | D* len    
---------------------------------------------------------------------------------
1     | Path found| 1.939     | 80        | Path found| 13.090    | 80        
2     | Path found| 0.693     | 77        | Path found| 8.157     | 77        
3     | Path found| 0.503     | 70        | Path found| 6.867     | 70        
4     | Path found| 0.642     | 75        | Path found| 6.770     | 75        
5     | Path found| 1.131     | 70        | Path found| 7.549     | 70        
6     | Path found| 0.692     | 70        | Path found| 6.592     | 70        
7     | Path found| 0.687     | 74        | Path found| 6.376     | 74        
8     | Path found| 0.578     | 77        | Path found| 5.846     | 77        
9     | Path found| 0.837     | 71        | Path found| 5.304     | 71        
10    | Path found| 0.488     | 72        | Path found| 5.187     | 72        
11    | Path found| 0.321     | 70        | Path found| 5.042     | 70        
12    | Path found| 0.558     | 70        | Path found| 4.829     | 70        
13    | Path found| 0.567     | 75        | Path found| 5.160     | 75        
14    | Path found| 0.457     | 71        | Path found| 5.301     | 71        
15    | Path found| 0.566     | 74        | Path found| 5.721     | 74        
16    | Path found| 1.013     | 73        | Path found| 5.522     | 73        
17    | Path found| 0.933     | 74        | Path found| 5.262     | 74        
18    | Path found| 0.600     | 87        | Path found| 7.945     | 87        
19    | Path found| 0.549     | 74        | Path found| 5.883     | 74        
20    | Path found| 0.505     | 77        | Path found| 6.277     | 77        
21    | Path found| 1.372     | 73        | Path found| 5.514     | 73        
22    | Path found| 0.393     | 72        | Path found| 5.358     | 72        
23    | Path found| 0.777     | 73        | Path found| 5.045     | 73        
24    | Path found| 0.823     | 74        | Path found| 5.626     | 74        
25    | Path found| 1.170     | 71        | Path found| 5.018     | 71        
26    | Path found| 0.929     | 74        | Path found| 5.793     | 74        
27    | Path found| 0.530     | 76        | Path found| 5.993     | 76        
28    | Path found| 0.539     | 70        | Path found| 4.804     | 70        
29    | Path found| 0.455     | 70        | Path found| 5.203     | 70        
30    | Path found| 0.768     | 73        | Path found| 5.216     | 73        
31    | Path found| 1.334     | 74        | Path found| 5.863     | 74        
32    | Path found| 0.579     | 70        | Path found| 5.047     | 70        
33    | Path found| 0.855     | 79        | Path found| 6.468     | 79        
34    | Path found| 0.597     | 71        | Path found| 3.429     | 71        
35    | Path found| 0.822     | 72        | Path found| 5.264     | 72        
36    | Path found| 0.869     | 78        | Path found| 6.413     | 78        
37    | Path found| 0.557     | 70        | Path found| 4.953     | 70        
38    | Path found| 0.817     | 75        | Path found| 5.859     | 75        
39    | Path found| 0.512     | 77        | Path found| 6.152     | 77        
40    | Path found| 0.704     | 72        | Path found| 5.498     | 72        
41    | Path found| 0.460     | 72        | Path found| 5.235     | 72        
42    | Path found| 1.235     | 72        | Path found| 3.719     | 72        
43    | Path found| 0.873     | 83        | Path found| 6.945     | 83        
44    | Path found| 0.342     | 72        | Path found| 5.488     | 72        
45    | Path found| 0.479     | 70        | Path found| 5.032     | 70        
46    | Path found| 0.649     | 74        | Path found| 3.850     | 74        
47    | Path found| 0.472     | 73        | Path found| 5.524     | 73        
48    | Path found| 0.648     | 71        | Path found| 5.031     | 71        
49    | Path found| 0.842     | 78        | Path found| 6.459     | 78        
