Detected from header: steps=5000, objects_per_step=3
Test  | MPPI      | MPPI ms   | MPPI steps| MPPI tort | MPPI turn | MPPI nm   | RMPPI     | RMPPI ms  | RMPPI steps| RMPPI tort| RMPPI turn| RMPPI nm  
------------------------------------------------------------------------------------------------------------------------------------------------------
(Using first 100 test cases — sampling-based planners are slower per path)
1     | Path found| 27.883    | 182       | 3.217     | 91.492    | 0.368     | No path   | 17.367    | 0         | 1.000     | 0.000     | 0.000     
2     | Path found| 18.158    | 121       | 2.213     | 82.500    | 0.289     | Path found| 17.728    | 115       | 2.103     | 72.632    | 0.296     
3     | Path found| 14.692    | 98        | 1.973     | 60.309    | 0.214     | Path found| 13.840    | 90        | 1.812     | 63.708    | 0.278     
4     | Path found| 13.624    | 91        | 1.698     | 62.000    | 0.099     | Path found| 19.241    | 125       | 2.332     | 82.016    | 0.272     
5     | Path found| 15.277    | 102       | 2.053     | 73.960    | 0.225     | Path found| 13.217    | 86        | 1.731     | 58.235    | 0.093     
6     | Path found| 15.551    | 102       | 2.053     | 72.178    | 0.284     | Path found| 17.581    | 114       | 2.295     | 81.239    | 0.386     
7     | Path found| 17.837    | 118       | 2.242     | 69.231    | 0.280     | Path found| 13.571    | 88        | 1.672     | 61.034    | 0.102     
8     | Path found| 14.278    | 95        | 1.741     | 48.830    | 0.116     | Path found| 16.471    | 107       | 1.961     | 63.679    | 0.224     
9     | Path found| 14.283    | 95        | 1.877     | 63.191    | 0.137     | Path found| 13.103    | 85        | 1.680     | 62.143    | 0.188     
10    | Path found| 13.503    | 90        | 1.767     | 59.663    | 0.200     | Path found| 18.276    | 118       | 2.317     | 80.769    | 0.407     
11    | Path found| 16.585    | 110       | 2.222     | 77.615    | 0.309     | Path found| 13.353    | 86        | 1.737     | 61.412    | 0.140     
12    | Path found| 11.664    | 78        | 1.566     | 49.091    | 0.128     | Path found| 14.738    | 96        | 1.927     | 69.158    | 0.229     
13    | Path found| 14.873    | 99        | 1.821     | 65.204    | 0.293     | Path found| 16.808    | 109       | 2.004     | 73.333    | 0.211     
14    | Path found| 12.441    | 83        | 1.652     | 53.780    | 0.181     | Path found| 16.168    | 105       | 2.090     | 75.288    | 0.238     
15    | Path found| 20.463    | 136       | 2.584     | 84.000    | 0.390     | Path found| 23.217    | 124       | 2.356     | 79.756    | 0.347     
16    | Path found| 14.285    | 87        | 1.667     | 64.884    | 0.195     | Path found| 12.766    | 83        | 1.590     | 45.000    | 0.265     
17    | Path found| 16.362    | 108       | 2.037     | 68.131    | 0.278     | Path found| 17.399    | 112       | 2.113     | 64.865    | 0.205     
