Test  | MPPI      | MPPI ms   | MPPI steps| MPPI tort | MPPI turn | MPPI nm   | RMPPI     | RMPPI ms  | RMPPI steps| RMPPI tort| RMPPI turn| RMPPI nm  
------------------------------------------------------------------------------------------------------------------------------------------------------
(Using first 100 test cases — sampling-based planners are slower per path)
1     | Path found| 29.006    | 126       | 2.227     | 69.840    | 0.175     | Path found| 14.857    | 96        | 1.697     | 54.947    | 0.229     
2     | Path found| 14.279    | 95        | 1.738     | 59.362    | 0.084     | Path found| 13.098    | 85        | 1.555     | 54.643    | 0.071     
3     | Path found| 13.244    | 88        | 1.771     | 58.966    | 0.284     | Path found| 13.632    | 88        | 1.771     | 54.828    | 0.170     
4     | Path found| 13.348    | 89        | 1.660     | 65.455    | 0.157     | Path found| 14.961    | 97        | 1.810     | 55.312    | 0.041     
5     | Path found| 13.758    | 92        | 1.852     | 66.264    | 0.120     | Path found| 14.473    | 94        | 1.892     | 66.774    | 0.064     
6     | Path found| 17.393    | 116       | 2.335     | 69.652    | 0.181     | Path found| 12.329    | 80        | 1.610     | 53.544    | 0.138     
7     | Path found| 14.439    | 96        | 1.824     | 55.895    | 0.156     | Path found| 12.953    | 84        | 1.596     | 40.120    | 0.083     
8     | Path found| 13.660    | 91        | 1.668     | 61.000    | 0.132     | Path found| 14.671    | 95        | 1.741     | 62.234    | 0.116     
9     | Path found| 12.511    | 83        | 1.640     | 49.390    | 0.181     | Path found| 15.097    | 97        | 1.917     | 64.688    | 0.124     
10    | Path found| 11.702    | 78        | 1.531     | 53.766    | 0.167     | Path found| 13.905    | 90        | 1.767     | 58.652    | 0.211     
11    | Path found| 14.683    | 98        | 1.980     | 66.804    | 0.102     | Path found| 19.756    | 108       | 2.182     | 69.813    | 0.065     
12    | Path found| 13.300    | 88        | 1.766     | 62.069    | 0.170     | Path found| 12.960    | 84        | 1.686     | 65.060    | 0.179     
13    | Path found| 13.970    | 93        | 1.710     | 52.826    | 0.172     | Path found| 15.287    | 99        | 1.821     | 52.347    | 0.141     
14    | Path found| 15.526    | 103       | 2.050     | 60.000    | 0.252     | Path found| 18.457    | 119       | 2.368     | 67.881    | 0.218     
15    | Path found| 15.902    | 106       | 2.014     | 72.000    | 0.132     | Path found| 14.176    | 92        | 1.748     | 61.319    | 0.065     
16    | Path found| 17.828    | 119       | 2.280     | 74.746    | 0.311     | Path found| 17.099    | 111       | 2.126     | 72.000    | 0.135     
17    | Path found| 13.846    | 92        | 1.736     | 52.418    | 0.130     | Path found| 17.985    | 116       | 2.188     | 67.304    | 0.147     
