Detected from header: steps=5000, objects_per_step=3
Test  | A*        | A* time   | A* steps | D* Lite   | D* time   | D* steps 
--------------------------------------------------------------------------------
1     | Path found| 18.102    | 52       | Path found| 10.574    | 52       
2     | Path found| 0.872     | 10       | Path found| 1.111     | 10       
3     | Path found| 2.819     | 20       | Path found| 2.306     | 20       
4     | Path found| 10.793    | 38       | Path found| 5.530     | 38       
5     | Path found| 1.835     | 21       | Path found| 1.984     | 21       
6     | Path found| 0.477     | 7        | Path found| 0.742     | 7        
7     | Path found| 6.278     | 34       | Path found| 2.882     | 34       
8     | Path found| 8.101     | 45       | Path found| 8.831     | 45       
9     | Path found| 2.109     | 14       | Path found| 2.603     | 14       
10    | Path found| 2.507     | 15       | Path found| 2.803     | 15       
11    | Path found| 6.046     | 36       | Path found| 1.940     | 36       
12    | Path found| 0.377     | 6        | Path found| 0.558     | 6        
13    | Path found| 3.904     | 27       | Path found| 3.473     | 29       
14    | Path found| 11.191    | 50       | Path found| 4.641     | 50       
15    | Path found| 2.900     | 29       | Path found| 1.761     | 29       
16    | Path found| 4.244     | 39       | Path found| 2.514     | 39       
17    | Path found| 0.662     | 16       | Path found| 0.845     | 16       
18    | Path found| 2.109     | 42       | Path found| 1.440     | 42       
19    | Path found| 2.243     | 35       | Path found| 1.989     | 35       
20    | Path found| 0.354     | 10       | Path found| 0.542     | 10       
21    | Path found| 7.882     | 49       | Path found| 3.554     | 49       
22    | Path found| 3.043     | 33       | Path found| 2.043     | 33       
23    | Path found| 8.459     | 55       | Path found| 4.814     | 55       
24    | Path found| 5.621     | 46       | Path found| 3.421     | 46       
25    | Path found| 1.412     | 32       | Path found| 1.167     | 32       
26    | Path found| 0.321     | 9        | Path found| 0.468     | 9        
27    | Path found| 9.875     | 55       | Path found| 5.446     | 57       
28    | Path found| 0.546     | 14       | Path found| 0.596     | 14       
29    | Path found| 0.294     | 9        | Path found| 0.491     | 9        
30    | Path found| 0.819     | 21       | Path found| 0.880     | 21       
31    | Path found| 4.654     | 41       | Path found| 2.187     | 41       
32    | Path found| 0.413     | 10       | Path found| 0.485     | 10       
33    | Path found| 4.247     | 40       | Path found| 1.749     | 40       
34    | Path found| 4.927     | 48       | Path found| 3.403     | 52       
35    | Path found| 2.166     | 29       | Path found| 1.815     | 29       
36    | Path found| 0.893     | 17       | Path found| 0.856     | 17       
37    | Path found| 2.778     | 38       | Path found| 2.338     | 40       
38    | Path found| 1.009     | 19       | Path found| 0.993     | 19       
39    | Path found| 1.421     | 24       | Path found| 1.415     | 24       
40    | Path found| 3.633     | 44       | Path found| 1.684     | 44       
41    | Path found| 1.484     | 25       | Path found| 1.182     | 25       
42    | Path found| 7.477     | 57       | Path found| 4.537     | 57       
43    | Path found| 3.149     | 40       | Path found| 2.029     | 40       
44    | Path found| 3.301     | 45       | Path found| 2.588     | 45       
45    | Path found| 0.964     | 22       | Path found| 0.775     | 22       
46    | Path found| 5.569     | 46       | Path found| 2.004     | 46       
47    | Path found| 2.064     | 29       | Path found| 1.625     | 29       
48    | Path found| 0.436     | 13       | Path found| 0.615     | 13       
49    | Path found| 3.349     | 39       | Path found| 1.993     | 39       
50    | Path found| 1.178     | 23       | Path found| 0.881     | 23       
51    | Path found| 2.585     | 33       | Path found| 2.017     | 33       
52    | Path found| 2.068     | 32       | Path found| 1.179     | 32       
53    | Path found| 1.735     | 28       | Path found| 1.305     | 28       
54    | Path found| 0.273     | 9        | Path found| 0.422     | 9        
55    | Path found| 0.826     | 21       | Path found| 0.822     | 21       
56    | Path found| 1.584     | 30       | Path found| 1.268     | 30       
57    | Path found| 0.767     | 18       | Path found| 0.644     | 18       
58    | Path found| 0.193     | 7        | Path found| 0.350     | 7        
59    | Path found| 0.941     | 22       | Path found| 0.779     | 22       
60    | Path found| 3.341     | 38       | Path found| 1.651     | 38       
61    | Path found| 0.508     | 14       | Path found| 0.675     | 14       
62    | Path found| 11.280    | 60       | Path found| 5.731     | 60       
63    | Path found| 15.718    | 70       | Path found| 7.892     | 70       
64    | Path found| 4.166     | 43       | Path found| 1.696     | 43       
65    | Path found| 1.721     | 31       | Path found| 1.745     | 31       
66    | Path found| 1.665     | 36       | Path found| 1.032     | 36       
67    | Path found| 0.982     | 21       | Path found| 1.060     | 21       
68    | Path found| 15.546    | 73       | Path found| 7.137     | 73       
69    | Path found| 0.212     | 7        | Path found| 0.362     | 7        
70    | Path found| 1.578     | 34       | Path found| 1.116     | 34       
71    | Path found| 2.088     | 29       | Path found| 1.537     | 29       
72    | Path found| 0.617     | 14       | Path found| 0.701     | 14       
73    | Path found| 0.273     | 9        | Path found| 0.434     | 9        
74    | Path found| 4.078     | 45       | Path found| 2.313     | 45       
75    | Path found| 3.326     | 34       | Path found| 2.233     | 34       
76    | Path found| 0.591     | 18       | Path found| 0.641     | 18       
77    | Path found| 8.565     | 52       | Path found| 3.477     | 52       
78    | Path found| 20.072    | 82       | Path found| 8.810     | 82       
79    | Path found| 2.324     | 31       | Path found| 1.591     | 31       
80    | Path found| 1.322     | 26       | Path found| 1.094     | 26       
81    | Path found| 3.421     | 45       | Path found| 3.773     | 45       
82    | Path found| 2.426     | 35       | Path found| 2.255     | 35       
83    | Path found| 0.524     | 13       | Path found| 0.715     | 13       
84    | Path found| 7.486     | 54       | Path found| 4.600     | 54       
85    | Path found| 0.477     | 14       | Path found| 0.601     | 14       
86    | Path found| 5.801     | 54       | Path found| 4.652     | 56       
87    | Path found| 0.415     | 14       | Path found| 0.510     | 14       
88    | Path found| 1.061     | 20       | Path found| 0.999     | 20       
89    | Path found| 0.142     | 5        | Path found| 0.314     | 5        
90    | Path found| 1.891     | 37       | Path found| 1.597     | 37       
91    | Path found| 0.912     | 24       | Path found| 0.881     | 24       
92    | Path found| 6.296     | 47       | Path found| 3.314     | 47       
93    | Path found| 3.583     | 38       | Path found| 2.437     | 38       
94    | Path found| 0.811     | 20       | Path found| 0.717     | 20       
95    | Path found| 1.591     | 24       | Path found| 1.373     | 24       
96    | Path found| 10.475    | 65       | Path found| 6.069     | 65       
97    | Path found| 6.123     | 47       | Path found| 4.790     | 49       
98    | Path found| 8.800     | 52       | Path found| 3.788     | 52       
99    | Path found| 0.502     | 12       | Path found| 0.621     | 12       
100   | Path found| 6.230     | 51       | Path found| 3.833     | 51       
101   | Path found| 0.185     | 6        | Path found| 0.342     | 6        
102   | Path found| 0.647     | 15       | Path found| 0.845     | 15       
103   | Path found| 0.236     | 7        | Path found| 0.408     | 7        
104   | Path found| 0.427     | 11       | Path found| 0.600     | 11       
105   | Path found| 1.978     | 26       | Path found| 1.333     | 26       
106   | Path found| 4.069     | 37       | Path found| 2.367     | 37       
107   | Path found| 0.732     | 19       | Path found| 0.881     | 19       
108   | Path found| 2.981     | 33       | Path found| 1.888     | 33       
109   | Path found| 0.544     | 16       | Path found| 0.614     | 16       
110   | Path found| 8.385     | 57       | Path found| 4.986     | 57       
111   | Path found| 1.321     | 23       | Path found| 1.038     | 23       
112   | Path found| 5.332     | 41       | Path found| 3.451     | 41       
113   | Path found| 0.986     | 17       | Path found| 0.917     | 17       
114   | Path found| 8.700     | 56       | Path found| 6.556     | 56       
115   | Path found| 0.586     | 14       | Path found| 0.756     | 14       
116   | Path found| 0.605     | 14       | Path found| 0.646     | 14       
117   | Path found| 1.502     | 26       | Path found| 1.572     | 26       
118   | Path found| 1.849     | 32       | Path found| 1.844     | 32       
119   | Path found| 3.848     | 35       | Path found| 2.418     | 35       
120   | Path found| 0.525     | 12       | Path found| 0.735     | 12       
121   | Path found| 1.694     | 25       | Path found| 1.498     | 25       
122   | Path found| 1.383     | 27       | Path found| 1.453     | 27       
123   | Path found| 0.632     | 15       | Path found| 0.798     | 15       
124   | Path found| 9.066     | 58       | Path found| 3.961     | 58       
125   | Path found| 1.681     | 28       | Path found| 1.685     | 28       
126   | Path found| 0.060     | 2        | Path found| 0.222     | 2        
127   | Path found| 2.347     | 31       | Path found| 1.874     | 31       
128   | Path found| 9.144     | 56       | Path found| 4.132     | 56       
129   | Path found| 7.583     | 49       | Path found| 2.909     | 49       
130   | Path found| 4.009     | 40       | Path found| 2.875     | 40       
131   | Path found| 1.928     | 34       | Path found| 2.171     | 36       
132   | Path found| 1.203     | 22       | Path found| 1.273     | 22       
133   | Path found| 2.915     | 36       | Path found| 3.191     | 36       
134   | Path found| 7.794     | 50       | Path found| 3.964     | 50       
135   | Path found| 0.503     | 15       | Path found| 0.670     | 15       
136   | Path found| 4.823     | 44       | Path found| 3.724     | 42       
137   | Path found| 10.398    | 57       | Path found| 3.893     | 57       
138   | Path found| 0.832     | 21       | Path found| 0.964     | 21       
139   | Path found| 0.492     | 12       | Path found| 0.609     | 12       
140   | Path found| 4.007     | 46       | Path found| 2.468     | 46       
141   | Path found| 2.264     | 31       | Path found| 1.304     | 31       
142   | Path found| 0.117     | 4        | Path found| 0.281     | 4        
143   | Path found| 0.303     | 9        | Path found| 0.474     | 9        
144   | Path found| 0.679     | 17       | Path found| 0.842     | 17       
