Test  | A*        | A* time   | A* len    | D* Lite   | D* time   | D* len    
---------------------------------------------------------------------------------
1     | Path found| 0.925     | 52        | Path found| 3.633     | 52        
2     | Path found| 0.080     | 10        | Path found| 0.342     | 10        
3     | Path found| 0.158     | 20        | Path found| 0.630     | 20        
4     | Path found| 0.334     | 38        | Path found| 2.084     | 38        
5     | Path found| 0.170     | 21        | Path found| 0.774     | 21        
6     | Path found| 0.069     | 7         | Path found| 0.318     | 7         
7     | Path found| 0.290     | 34        | Path found| 1.883     | 34        
8     | Path found| 0.363     | 45        | Path found| 2.395     | 45        
9     | Path found| 0.106     | 14        | Path found| 0.596     | 14        
10    | Path found| 0.112     | 15        | Path found| 0.541     | 15        
11    | Path found| 0.149     | 36        | Path found| 0.627     | 36        
12    | Path found| 0.057     | 6         | Path found| 0.276     | 6         
13    | Path found| 0.271     | 27        | Path found| 1.303     | 27        
14    | Path found| 0.479     | 50        | Path found| 3.122     | 50        
15    | Path found| 0.241     | 29        | Path found| 1.139     | 29        
16    | Path found| 0.385     | 39        | Path found| 2.230     | 39        
17    | Path found| 0.141     | 16        | Path found| 0.740     | 16        
18    | Path found| 0.171     | 42        | Path found| 0.860     | 42        
19    | Path found| 0.336     | 35        | Path found| 1.783     | 35        
20    | Path found| 0.093     | 10        | Path found| 0.472     | 10        
21    | Path found| 0.627     | 49        | Path found| 3.085     | 49        
22    | Path found| 0.352     | 33        | Path found| 1.233     | 33        
23    | Path found| 0.429     | 55        | Path found| 4.371     | 55        
24    | Path found| 0.353     | 46        | Path found| 3.521     | 46        
25    | Path found| 0.130     | 32        | Path found| 0.751     | 32        
26    | Path found| 0.089     | 9         | Path found| 0.413     | 9         
27    | Path found| 0.827     | 57        | Path found| 4.888     | 57        
28    | Path found| 0.099     | 14        | Path found| 0.387     | 14        
29    | Path found| 0.079     | 9         | Path found| 0.392     | 9         
30    | Path found| 0.074     | 19        | Path found| 0.366     | 19        
31    | Path found| 0.322     | 41        | Path found| 1.758     | 41        
32    | Path found| 0.095     | 10        | Path found| 0.457     | 10        
33    | Path found| 0.483     | 38        | Path found| 0.857     | 38        
34    | Path found| 0.308     | 48        | Path found| 1.575     | 48        
35    | Path found| 0.310     | 29        | Path found| 1.377     | 29        
36    | Path found| 0.125     | 17        | Path found| 0.527     | 17        
37    | Path found| 0.211     | 38        | Path found| 1.439     | 38        
38    | Path found| 0.119     | 19        | Path found| 0.669     | 19        
39    | Path found| 0.162     | 24        | Path found| 0.984     | 24        
40    | Path found| 0.197     | 44        | Path found| 0.859     | 44        
41    | Path found| 0.134     | 25        | Path found| 0.725     | 25        
42    | Path found| 0.441     | 57        | Path found| 3.302     | 57        
43    | Path found| 0.204     | 40        | Path found| 1.310     | 40        
44    | Path found| 0.206     | 43        | Path found| 1.446     | 43        
45    | Path found| 0.082     | 22        | Path found| 0.368     | 22        
46    | Path found| 0.369     | 46        | Path found| 1.048     | 46        
47    | Path found| 0.152     | 29        | Path found| 1.085     | 29        
48    | Path found| 0.078     | 13        | Path found| 0.392     | 13        
49    | Path found| 0.146     | 37        | Path found| 1.001     | 37        
50    | Path found| 0.097     | 23        | Path found| 0.465     | 23        
51    | Path found| 0.245     | 33        | Path found| 1.433     | 33        
52    | Path found| 0.140     | 32        | Path found| 0.582     | 32        
53    | Path found| 0.149     | 28        | Path found| 0.781     | 28        
54    | Path found| 0.054     | 9         | Path found| 0.246     | 9         
55    | Path found| 0.079     | 21        | Path found| 0.439     | 21        
56    | Path found| 0.115     | 28        | Path found| 0.467     | 28        
57    | Path found| 0.103     | 18        | Path found| 0.275     | 18        
58    | Path found| 0.048     | 7         | Path found| 0.229     | 7         
59    | Path found| 0.081     | 22        | Path found| 0.385     | 22        
60    | Path found| 0.210     | 38        | Path found| 0.751     | 38        
61    | Path found| 0.074     | 14        | Path found| 0.422     | 14        
62    | Path found| 0.311     | 60        | Path found| 3.612     | 60        
63    | Path found| 1.175     | 70        | Path found| 4.749     | 70        
64    | Path found| 0.195     | 43        | Path found| 0.914     | 43        
65    | Path found| 0.180     | 31        | Path found| 1.163     | 31        
66    | Path found| 0.078     | 36        | Path found| 0.368     | 36        
67    | Path found| 0.130     | 21        | Path found| 0.692     | 21        
68    | Path found| 0.477     | 73        | Path found| 5.542     | 73        
69    | Path found| 0.050     | 7         | Path found| 0.229     | 7         
70    | Path found| 0.103     | 34        | Path found| 0.485     | 34        
71    | Path found| 0.154     | 29        | Path found| 0.946     | 29        
72    | Path found| 0.105     | 14        | Path found| 0.414     | 14        
73    | Path found| 0.064     | 9         | Path found| 0.255     | 9         
74    | Path found| 0.216     | 45        | Path found| 1.232     | 45        
75    | Path found| 0.232     | 34        | Path found| 1.486     | 34        
76    | Path found| 0.059     | 18        | Path found| 0.260     | 18        
77    | Path found| 0.572     | 50        | Path found| 2.051     | 50        
78    | Path found| 0.452     | 82        | Path found| 6.743     | 82        
79    | Path found| 0.184     | 31        | Path found| 0.848     | 31        
80    | Path found| 0.123     | 26        | Path found| 0.691     | 26        
81    | Path found| 0.183     | 43        | Path found| 1.879     | 43        
82    | Path found| 0.173     | 33        | Path found| 1.060     | 33        
83    | Path found| 0.088     | 13        | Path found| 0.417     | 13        
84    | Path found| 0.380     | 54        | Path found| 3.056     | 54        
85    | Path found| 0.064     | 14        | Path found| 0.312     | 14        
86    | Path found| 0.395     | 52        | Path found| 2.583     | 52        
87    | Path found| 0.058     | 14        | Path found| 0.249     | 14        
88    | Path found| 0.096     | 20        | Path found| 0.595     | 20        
89    | Path found| 0.044     | 5         | Path found| 0.220     | 5         
90    | Path found| 0.084     | 35        | Path found| 0.444     | 35        
91    | Path found| 0.084     | 24        | Path found| 0.390     | 24        
92    | Path found| 0.297     | 47        | Path found| 2.213     | 47        
93    | Path found| 0.267     | 38        | Path found| 1.403     | 38        
94    | Path found| 0.074     | 20        | Path found| 0.267     | 20        
95    | Path found| 0.133     | 24        | Path found| 0.796     | 24        
96    | Path found| 0.717     | 65        | Path found| 4.157     | 65        
97    | Path found| 0.246     | 47        | Path found| 2.352     | 47        
98    | Path found| 0.662     | 52        | Path found| 2.515     | 52        
99    | Path found| 0.075     | 12        | Path found| 0.366     | 12        
100   | Path found| 0.382     | 49        | Path found| 1.747     | 49        
101   | Path found| 0.044     | 6         | Path found| 0.204     | 6         
102   | Path found| 0.108     | 15        | Path found| 0.468     | 15        
103   | Path found| 0.055     | 7         | Path found| 0.266     | 7         
104   | Path found| 0.068     | 11        | Path found| 0.290     | 11        
105   | Path found| 0.163     | 26        | Path found| 0.774     | 26        
106   | Path found| 0.234     | 37        | Path found| 1.432     | 37        
107   | Path found| 0.094     | 19        | Path found| 0.469     | 19        
108   | Path found| 0.223     | 33        | Path found| 1.095     | 33        
109   | Path found| 0.055     | 16        | Path found| 0.267     | 16        
110   | Path found| 0.484     | 57        | Path found| 3.233     | 57        
111   | Path found| 0.133     | 21        | Path found| 0.334     | 21        
112   | Path found| 0.191     | 41        | Path found| 1.799     | 41        
113   | Path found| 0.096     | 17        | Path found| 0.433     | 17        
114   | Path found| 0.329     | 54        | Path found| 3.034     | 54        
115   | Path found| 0.071     | 14        | Path found| 0.374     | 14        
116   | Path found| 0.060     | 14        | Path found| 0.281     | 14        
117   | Path found| 0.131     | 26        | Path found| 0.808     | 26        
118   | Path found| 0.144     | 32        | Path found| 0.892     | 32        
119   | Path found| 0.218     | 35        | Path found| 1.114     | 35        
120   | Path found| 0.067     | 12        | Path found| 0.380     | 12        
121   | Path found| 0.142     | 25        | Path found| 0.858     | 25        
122   | Path found| 0.125     | 27        | Path found| 0.766     | 27        
123   | Path found| 0.074     | 15        | Path found| 0.421     | 15        
124   | Path found| 0.447     | 58        | Path found| 2.500     | 58        
125   | Path found| 0.150     | 28        | Path found| 1.012     | 28        
126   | Path found| 0.035     | 2         | Path found| 0.181     | 2         
127   | Path found| 0.250     | 31        | Path found| 1.136     | 31        
128   | Path found| 0.472     | 56        | Path found| 2.756     | 56        
129   | Path found| 0.503     | 45        | Path found| 0.734     | 45        
130   | Path found| 0.206     | 40        | Path found| 1.926     | 40        
131   | Path found| 0.135     | 32        | Path found| 0.842     | 32        
132   | Path found| 0.108     | 22        | Path found| 0.770     | 22        
133   | Path found| 0.180     | 34        | Path found| 1.277     | 34        
134   | Path found| 0.401     | 50        | Path found| 2.631     | 50        
135   | Path found| 0.060     | 15        | Path found| 0.337     | 15        
136   | Path found| 0.258     | 42        | Path found| 1.822     | 42        
137   | Path found| 0.311     | 57        | Path found| 2.076     | 57        
138   | Path found| 0.099     | 19        | Path found| 0.449     | 19        
139   | Path found| 0.068     | 12        | Path found| 0.328     | 12        
140   | Path found| 0.276     | 46        | Path found| 1.520     | 46        
141   | Path found| 0.165     | 31        | Path found| 0.680     | 31        
142   | Path found| 0.042     | 4         | Path found| 0.204     | 4         
143   | Path found| 0.058     | 9         | Path found| 0.270     | 9         
144   | Path found| 0.094     | 17        | Path found| 0.490     | 17        
145   | Path found| 0.218     | 34        | Path found| 0.988     | 34        
146   | Path found| 0.524     | 44        | Path found| 2.018     | 44        
147   | Path found| 0.057     | 10        | Path found| 0.273     | 10        
148   | Path found| 0.274     | 40        | Path found| 1.898     | 40        
149   | Path found| 0.122     | 29        | Path found| 0.663     | 29        
150   | Path found| 0.100     | 16        | Path found| 0.490     | 16        
151   | Path found| 0.078     | 13        | Path found| 0.334     | 13        
152   | Path found| 0.051     | 4         | Path found| 0.205     | 4         
153   | Path found| 0.121     | 18        | Path found| 0.485     | 18        
154   | Path found| 0.165     | 38        | Path found| 1.518     | 38        
155   | Path found| 0.165     | 28        | Path found| 0.733     | 28        
156   | Path found| 0.500     | 63        | Path found| 4.271     | 63        
157   | Path found| 0.146     | 31        | Path found| 0.928     | 31        
158   | Path found| 0.236     | 42        | Path found| 1.905     | 42        
159   | Path found| 0.105     | 34        | Path found| 0.384     | 34        
160   | Path found| 0.184     | 36        | Path found| 1.247     | 36        
161   | Path found| 0.221     | 40        | Path found| 1.497     | 40        
162   | Path found| 0.114     | 23        | Path found| 0.473     | 23        
163   | Path found| 0.069     | 15        | Path found| 0.335     | 15        
164   | Path found| 0.112     | 18        | Path found| 0.577     | 18        
165   | Path found| 0.392     | 58        | Path found| 3.323     | 58        
166   | Path found| 0.121     | 28        | Path found| 1.044     | 28        
167   | Path found| 0.846     | 69        | Path found| 4.661     | 69        
168   | Path found| 0.198     | 36        | Path found| 0.755     | 36        
169   | Path found| 0.067     | 11        | Path found| 0.342     | 11        
170   | Path found| 0.043     | 4         | Path found| 0.198     | 4         
171   | Path found| 0.122     | 29        | Path found| 0.530     | 29        
172   | Path found| 0.059     | 16        | Path found| 0.264     | 16        
173   | Path found| 0.444     | 45        | Path found| 1.296     | 45        
174   | Path found| 0.417     | 46        | Path found| 2.506     | 46        
175   | Path found| 0.355     | 72        | Path found| 5.574     | 72        
176   | Path found| 0.553     | 54        | Path found| 1.896     | 54        
177   | Path found| 0.066     | 11        | Path found| 0.299     | 11        
178   | Path found| 0.173     | 28        | Path found| 0.735     | 28        
179   | Path found| 0.291     | 38        | Path found| 1.428     | 38        
180   | Path found| 0.624     | 65        | Path found| 4.382     | 65        
181   | Path found| 0.050     | 6         | Path found| 0.235     | 6         
182   | Path found| 0.150     | 25        | Path found| 0.838     | 25        
183   | Path found| 0.198     | 46        | Path found| 1.248     | 46        
184   | Path found| 0.076     | 14        | Path found| 0.435     | 14        
185   | Path found| 0.235     | 33        | Path found| 1.325     | 33        
186   | Path found| 0.741     | 61        | Path found| 3.649     | 61        
187   | Path found| 0.078     | 14        | Path found| 0.428     | 14        
188   | Path found| 0.094     | 30        | Path found| 0.435     | 30        
189   | Path found| 0.040     | 5         | Path found| 0.197     | 5         
190   | Path found| 0.093     | 21        | Path found| 0.400     | 21        
191   | Path found| 0.092     | 15        | Path found| 0.440     | 15        
192   | Path found| 0.081     | 28        | Path found| 0.426     | 28        
193   | Path found| 0.082     | 24        | Path found| 0.385     | 24        
194   | Path found| 0.222     | 41        | Path found| 1.959     | 41        
195   | Path found| 0.187     | 33        | Path found| 1.166     | 33        
196   | Path found| 0.126     | 27        | Path found| 0.883     | 27        
197   | Path found| 0.241     | 30        | Path found| 1.088     | 30        
198   | Path found| 0.108     | 24        | Path found| 0.705     | 24        
199   | Path found| 0.054     | 8         | Path found| 0.257     | 8         
200   | Path found| 0.233     | 33        | Path found| 1.054     | 33        
201   | Path found| 0.300     | 48        | Path found| 1.560     | 48        
202   | Path found| 0.098     | 19        | Path found| 0.531     | 19        
203   | Path found| 0.035     | 2         | Path found| 0.171     | 2         
204   | Path found| 0.227     | 29        | Path found| 0.556     | 29        
205   | Path found| 0.191     | 31        | Path found| 1.195     | 31        
206   | Path found| 0.070     | 17        | Path found| 0.317     | 17        
207   | Path found| 0.097     | 15        | Path found| 0.430     | 15        
208   | Path found| 0.082     | 21        | Path found| 0.355     | 21        
209   | Path found| 0.471     | 47        | Path found| 2.275     | 47        
210   | Path found| 0.080     | 16        | Path found| 0.384     | 16        
211   | Path found| 0.431     | 66        | Path found| 3.987     | 66        
212   | Path found| 0.214     | 35        | Path found| 1.252     | 35        
213   | Path found| 0.045     | 5         | Path found| 0.205     | 5         
214   | Path found| 0.160     | 25        | Path found| 0.783     | 25        
215   | Path found| 0.044     | 4         | Path found| 0.206     | 4         
216   | Path found| 0.096     | 24        | Path found| 0.576     | 24        
217   | Path found| 0.315     | 37        | Path found| 0.650     | 37        
218   | Path found| 0.469     | 75        | Path found| 5.555     | 75        
219   | Path found| 0.259     | 53        | Path found| 2.730     | 53        
220   | Path found| 0.097     | 18        | Path found| 0.541     | 18        
221   | Path found| 0.136     | 29        | Path found| 0.865     | 29        
222   | Path found| 0.085     | 16        | Path found| 0.476     | 16        
223   | Path found| 0.217     | 30        | Path found| 1.135     | 30        
224   | Path found| 0.091     | 17        | Path found| 0.300     | 17        
225   | Path found| 0.402     | 50        | Path found| 1.908     | 50        
226   | Path found| 0.105     | 18        | Path found| 0.470     | 18        
227   | Path found| 0.235     | 36        | Path found| 1.285     | 36        
228   | Path found| 0.409     | 49        | Path found| 1.889     | 49        
229   | Path found| 0.103     | 20        | Path found| 0.575     | 20        
230   | Path found| 0.269     | 48        | Path found| 2.199     | 48        
231   | Path found| 0.132     | 37        | Path found| 1.607     | 37        
232   | Path found| 0.183     | 36        | Path found| 0.706     | 36        
233   | Path found| 0.224     | 30        | Path found| 1.024     | 30        
234   | Path found| 0.600     | 53        | Path found| 2.625     | 53        
235   | Path found| 0.812     | 63        | Path found| 4.258     | 63        
236   | Path found| 0.172     | 41        | Path found| 1.130     | 41        
237   | Path found| 0.116     | 27        | Path found| 0.527     | 27        
238   | Path found| 0.206     | 31        | Path found| 1.105     | 31        
239   | Path found| 0.494     | 60        | Path found| 3.550     | 60        
240   | Path found| 0.276     | 30        | Path found| 0.642     | 30        
241   | Path found| 0.162     | 30        | Path found| 0.823     | 30        
242   | Path found| 0.127     | 26        | Path found| 0.811     | 26        
243   | Path found| 0.204     | 36        | Path found| 1.264     | 36        
244   | Path found| 0.114     | 26        | Path found| 0.830     | 26        
245   | Path found| 0.108     | 20        | Path found| 0.500     | 20        
246   | Path found| 0.046     | 6         | Path found| 0.225     | 6         
247   | Path found| 0.461     | 73        | Path found| 5.472     | 73        
248   | Path found| 0.203     | 38        | Path found| 0.967     | 38        
249   | Path found| 0.328     | 46        | Path found| 1.971     | 46        
250   | Path found| 0.074     | 14        | Path found| 0.365     | 14        
251   | Path found| 0.152     | 23        | Path found| 0.733     | 23        
252   | Path found| 0.067     | 16        | Path found| 0.300     | 16        
253   | Path found| 0.111     | 21        | Path found| 0.682     | 21        
254   | Path found| 0.102     | 39        | Path found| 0.658     | 39        
255   | Path found| 0.113     | 21        | Path found| 0.596     | 21        
256   | Path found| 0.103     | 20        | Path found| 0.621     | 20        
257   | Path found| 0.365     | 52        | Path found| 1.920     | 52        
258   | Path found| 0.100     | 18        | Path found| 0.507     | 18        
259   | Path found| 0.143     | 28        | Path found| 0.798     | 28        
260   | Path found| 0.715     | 58        | Path found| 3.337     | 58        
261   | Path found| 0.212     | 37        | Path found| 1.476     | 37        
262   | Path found| 0.060     | 17        | Path found| 0.350     | 17        
263   | Path found| 0.236     | 53        | Path found| 2.661     | 53        
264   | Path found| 0.349     | 54        | Path found| 2.829     | 54        
265   | Path found| 0.252     | 47        | Path found| 1.955     | 47        
266   | Path found| 0.240     | 49        | Path found| 1.315     | 49        
267   | Path found| 0.388     | 47        | Path found| 1.377     | 47        
268   | Path found| 0.213     | 28        | Path found| 1.059     | 28        
269   | Path found| 0.541     | 58        | Path found| 3.145     | 58        
270   | Path found| 0.090     | 18        | Path found| 0.404     | 18        
271   | Path found| 0.063     | 10        | Path found| 0.327     | 10        
272   | Path found| 0.252     | 36        | Path found| 1.247     | 36        
273   | Path found| 0.527     | 67        | Path found| 3.523     | 67        
274   | Path found| 0.113     | 21        | Path found| 0.636     | 21        
275   | Path found| 0.179     | 32        | Path found| 1.093     | 32        
276   | Path found| 0.126     | 27        | Path found| 0.599     | 27        
277   | Path found| 0.213     | 44        | Path found| 2.017     | 44        
278   | Path found| 0.199     | 34        | Path found| 1.242     | 34        
279   | Path found| 0.215     | 35        | Path found| 1.525     | 35        
280   | Path found| 0.259     | 39        | Path found| 1.287     | 39        
281   | Path found| 0.284     | 35        | Path found| 1.301     | 35        
282   | Path found| 0.166     | 38        | Path found| 0.769     | 38        
283   | Path found| 0.077     | 21        | Path found| 0.357     | 21        
284   | Path found| 0.544     | 57        | Path found| 3.074     | 57        
285   | Path found| 0.109     | 18        | Path found| 0.565     | 18        
286   | Path found| 0.060     | 24        | Path found| 0.282     | 24        
287   | Path found| 0.063     | 10        | Path found| 0.294     | 10        
288   | Path found| 0.114     | 23        | Path found| 0.586     | 23        
289   | Path found| 0.140     | 33        | Path found| 1.154     | 33        
290   | Path found| 0.399     | 55        | Path found| 2.163     | 55        
291   | Path found| 0.268     | 46        | Path found| 2.267     | 46        
292   | Path found| 0.287     | 40        | Path found| 1.395     | 40        
293   | Path found| 0.083     | 19        | Path found| 0.516     | 19        
294   | Path found| 0.073     | 13        | Path found| 0.357     | 13        
295   | Path found| 0.125     | 26        | Path found| 0.532     | 26        
296   | Path found| 0.159     | 31        | Path found| 0.669     | 31        
297   | Path found| 0.314     | 35        | Path found| 1.076     | 35        
298   | Path found| 0.215     | 34        | Path found| 1.252     | 34        
299   | Path found| 0.243     | 34        | Path found| 1.247     | 34        
300   | Path found| 0.255     | 30        | Path found| 1.160     | 30        
301   | Path found| 0.650     | 52        | Path found| 2.765     | 52        
302   | Path found| 0.064     | 11        | Path found| 0.338     | 11        
303   | Path found| 0.227     | 40        | Path found| 1.679     | 40        
304   | Path found| 0.351     | 47        | Path found| 1.949     | 47        
305   | Path found| 0.094     | 17        | Path found| 0.485     | 17        
306   | Path found| 0.157     | 37        | Path found| 0.368     | 37        
307   | Path found| 0.350     | 42        | Path found| 1.949     | 42        
308   | Path found| 0.232     | 27        | Path found| 0.985     | 27        
309   | Path found| 0.210     | 46        | Path found| 1.058     | 46        
310   | Path found| 0.497     | 54        | Path found| 3.043     | 54        
311   | Path found| 0.104     | 27        | Path found| 0.512     | 27        
312   | Path found| 0.173     | 29        | Path found| 0.911     | 29        
313   | Path found| 0.132     | 19        | Path found| 0.584     | 19        
314   | Path found| 0.157     | 31        | Path found| 1.043     | 31        
315   | Path found| 0.150     | 25        | Path found| 0.771     | 25        
316   | Path found| 0.205     | 29        | Path found| 1.058     | 29        
317   | Path found| 0.227     | 51        | Path found| 1.595     | 51        
318   | Path found| 0.240     | 60        | Path found| 3.505     | 60        
319   | Path found| 0.450     | 53        | Path found| 2.916     | 53        
320   | Path found| 0.250     | 53        | Path found| 2.606     | 53        
321   | Path found| 0.173     | 29        | Path found| 1.037     | 29        
322   | Path found| 0.078     | 24        | Path found| 0.345     | 24        
323   | Path found| 0.038     | 5         | Path found| 0.181     | 5         
324   | Path found| 0.074     | 15        | Path found| 0.451     | 15        
325   | Path found| 0.087     | 20        | Path found| 0.409     | 20        
326   | Path found| 0.794     | 63        | Path found| 3.645     | 63        
327   | Path found| 0.247     | 57        | Path found| 2.773     | 57        
328   | Path found| 0.475     | 56        | Path found| 2.931     | 56        
329   | Path found| 0.148     | 23        | Path found| 0.787     | 23        
330   | Path found| 0.125     | 26        | Path found| 0.688     | 26        
331   | Path found| 0.062     | 8         | Path found| 0.272     | 8         
332   | Path found| 0.452     | 62        | Path found| 3.955     | 62        
333   | Path found| 0.111     | 21        | Path found| 0.672     | 21        
334   | Path found| 0.101     | 22        | Path found| 0.465     | 22        
335   | Path found| 0.148     | 36        | Path found| 1.603     | 36        
336   | Path found| 0.298     | 38        | Path found| 1.648     | 38        
337   | Path found| 0.082     | 23        | Path found| 0.703     | 23        
338   | Path found| 0.167     | 28        | Path found| 0.856     | 28        
339   | Path found| 0.233     | 41        | Path found| 1.788     | 41        
340   | Path found| 0.103     | 23        | Path found| 0.515     | 23        
341   | Path found| 0.319     | 40        | Path found| 1.480     | 40        
342   | Path found| 0.126     | 22        | Path found| 0.514     | 22        
343   | Path found| 0.100     | 25        | Path found| 0.430     | 25        
344   | Path found| 0.463     | 59        | Path found| 3.493     | 59        
345   | Path found| 0.192     | 34        | Path found| 0.951     | 34        
346   | Path found| 0.223     | 44        | Path found| 2.085     | 44        
347   | Path found| 0.061     | 9         | Path found| 0.281     | 9         
348   | Path found| 0.187     | 37        | Path found| 0.841     | 37        
349   | Path found| 0.226     | 36        | Path found| 1.473     | 36        
350   | Path found| 0.087     | 17        | Path found| 0.422     | 17        
351   | Path found| 0.204     | 45        | Path found| 0.867     | 45        
352   | Path found| 0.808     | 71        | Path found| 4.977     | 71        
353   | Path found| 0.144     | 37        | Path found| 0.664     | 37        
354   | Path found| 0.113     | 19        | Path found| 0.477     | 19        
355   | Path found| 0.070     | 11        | Path found| 0.349     | 11        
356   | Path found| 0.206     | 33        | Path found| 0.803     | 33        
357   | Path found| 0.108     | 22        | Path found| 0.577     | 22        
358   | Path found| 0.109     | 20        | Path found| 0.639     | 20        
359   | Path found| 0.106     | 23        | Path found| 0.653     | 23        
360   | Path found| 0.193     | 31        | Path found| 1.087     | 31        
361   | Path found| 0.108     | 42        | Path found| 0.851     | 42        
362   | Path found| 0.412     | 42        | Path found| 1.921     | 42        
363   | Path found| 0.092     | 17        | Path found| 0.422     | 17        
364   | Path found| 0.080     | 12        | Path found| 0.369     | 12        
365   | Path found| 0.238     | 37        | Path found| 1.334     | 37        
366   | Path found| 0.538     | 56        | Path found| 2.570     | 56        
367   | Path found| 0.064     | 10        | Path found| 0.294     | 10        
368   | Path found| 0.239     | 30        | Path found| 1.012     | 30        
369   | Path found| 0.124     | 30        | Path found| 0.463     | 30        
370   | Path found| 0.207     | 29        | Path found| 0.841     | 29        
371   | Path found| 0.092     | 23        | Path found| 0.383     | 23        
372   | Path found| 0.103     | 19        | Path found| 0.547     | 19        
373   | Path found| 0.211     | 29        | Path found| 0.927     | 29        
374   | Path found| 0.340     | 48        | Path found| 2.242     | 48        
375   | Path found| 0.310     | 43        | Path found| 1.416     | 43        
376   | Path found| 0.102     | 26        | Path found| 0.466     | 26        
377   | Path found| 0.642     | 73        | Path found| 5.399     | 73        
378   | Path found| 0.086     | 14        | Path found| 0.390     | 14        
379   | Path found| 0.175     | 28        | Path found| 0.870     | 28        
380   | Path found| 0.154     | 38        | Path found| 1.476     | 38        
381   | Path found| 0.240     | 31        | Path found| 1.142     | 31        
382   | Path found| 0.222     | 40        | Path found| 1.228     | 40        
383   | Path found| 0.144     | 21        | Path found| 0.739     | 21        
384   | Path found| 0.195     | 29        | Path found| 0.914     | 29        
385   | Path found| 0.208     | 42        | Path found| 1.454     | 42        
386   | Path found| 0.122     | 23        | Path found| 0.620     | 23        
387   | Path found| 0.264     | 42        | Path found| 2.051     | 42        
388   | Path found| 0.054     | 9         | Path found| 0.257     | 9         
389   | Path found| 0.077     | 14        | Path found| 0.438     | 14        
390   | Path found| 0.131     | 24        | Path found| 0.727     | 24        
391   | Path found| 0.381     | 48        | Path found| 1.957     | 48        
392   | Path found| 0.048     | 6         | Path found| 0.251     | 6         
393   | Path found| 0.390     | 60        | Path found| 3.827     | 60        
394   | Path found| 0.136     | 28        | Path found| 1.020     | 28        
395   | Path found| 0.087     | 20        | Path found| 0.403     | 20        
396   | Path found| 0.437     | 60        | Path found| 3.640     | 60        
397   | Path found| 0.091     | 16        | Path found| 0.532     | 16        
398   | Path found| 0.178     | 31        | Path found| 1.068     | 31        
399   | Path found| 0.197     | 42        | Path found| 0.868     | 42        
400   | Path found| 0.259     | 40        | Path found| 1.459     | 40        
401   | Path found| 0.160     | 31        | Path found| 1.199     | 31        
402   | Path found| 0.062     | 13        | Path found| 0.280     | 13        
403   | Path found| 0.285     | 58        | Path found| 3.321     | 58        
404   | Path found| 0.377     | 51        | Path found| 2.729     | 51        
405   | Path found| 0.295     | 44        | Path found| 1.707     | 44        
406   | Path found| 0.046     | 8         | Path found| 0.213     | 8         
407   | Path found| 0.511     | 61        | Path found| 3.653     | 61        
408   | Path found| 0.928     | 62        | Path found| 2.995     | 62        
409   | Path found| 0.099     | 17        | Path found| 0.551     | 17        
410   | Path found| 0.279     | 57        | Path found| 3.569     | 57        
411   | Path found| 0.121     | 28        | Path found| 0.762     | 28        
412   | Path found| 0.560     | 55        | Path found| 2.374     | 55        
413   | Path found| 0.120     | 25        | Path found| 0.770     | 25        
414   | Path found| 0.280     | 51        | Path found| 1.919     | 51        
415   | Path found| 0.157     | 32        | Path found| 0.692     | 32        
416   | Path found| 0.228     | 46        | Path found| 2.320     | 46        
417   | Path found| 0.368     | 39        | Path found| 1.481     | 39        
418   | Path found| 0.304     | 38        | Path found| 1.595     | 38        
419   | Path found| 0.041     | 3         | Path found| 0.189     | 3         
420   | Path found| 0.236     | 44        | Path found| 1.645     | 44        
421   | Path found| 0.062     | 21        | Path found| 0.366     | 21        
422   | Path found| 0.370     | 37        | Path found| 0.661     | 37        
423   | Path found| 0.173     | 43        | Path found| 0.929     | 43        
